location,truth_date,yearweek,value
AT,2022-09-11,2022-W36,5
AT,2022-09-11,2022-W36,65
AT,2022-09-11,2022-W36,4
AT,2022-09-11,2022-W36,148
AT,2022-09-11,2022-W36,222
AT,2022-09-04,2022-W35,3
AT,2022-09-04,2022-W35,66
AT,2022-09-04,2022-W35,1
AT,2022-09-04,2022-W35,172
AT,2022-09-04,2022-W35,242
AT,2022-08-28,2022-W34,11
AT,2022-08-28,2022-W34,83
AT,2022-08-28,2022-W34,3
AT,2022-08-28,2022-W34,164
AT,2022-08-28,2022-W34,261
AT,2022-08-21,2022-W33,12
AT,2022-08-21,2022-W33,94
AT,2022-08-21,2022-W33,4
AT,2022-08-21,2022-W33,200
AT,2022-08-21,2022-W33,310
AT,2022-08-14,2022-W32,11
AT,2022-08-14,2022-W32,74
AT,2022-08-14,2022-W32,3
AT,2022-08-14,2022-W32,161
AT,2022-08-14,2022-W32,249
AT,2022-08-07,2022-W31,4
AT,2022-08-07,2022-W31,79
AT,2022-08-07,2022-W31,3
AT,2022-08-07,2022-W31,212
AT,2022-08-07,2022-W31,298
AT,2022-07-31,2022-W30,15
AT,2022-07-31,2022-W30,114
AT,2022-07-31,2022-W30,4
AT,2022-07-31,2022-W30,336
AT,2022-07-31,2022-W30,469
AT,2022-07-24,2022-W29,14
AT,2022-07-24,2022-W29,141
AT,2022-07-24,2022-W29,2
AT,2022-07-24,2022-W29,402
AT,2022-07-24,2022-W29,559
AT,2022-07-17,2022-W28,25
AT,2022-07-17,2022-W28,172
AT,2022-07-17,2022-W28,4
AT,2022-07-17,2022-W28,408
AT,2022-07-17,2022-W28,609
AT,2022-07-10,2022-W27,14
AT,2022-07-10,2022-W27,132
AT,2022-07-10,2022-W27,5
AT,2022-07-10,2022-W27,298
AT,2022-07-10,2022-W27,449
AT,2022-07-03,2022-W26,12
AT,2022-07-03,2022-W26,123
AT,2022-07-03,2022-W26,5
AT,2022-07-03,2022-W26,269
AT,2022-07-03,2022-W26,409
AT,2022-06-26,2022-W25,11
AT,2022-06-26,2022-W25,114
AT,2022-06-26,2022-W25,2
AT,2022-06-26,2022-W25,250
AT,2022-06-26,2022-W25,377
AT,2022-06-19,2022-W24,10
AT,2022-06-19,2022-W24,75
AT,2022-06-19,2022-W24,2
AT,2022-06-19,2022-W24,182
AT,2022-06-19,2022-W24,269
AT,2022-06-12,2022-W23,6
AT,2022-06-12,2022-W23,54
AT,2022-06-12,2022-W23,5
AT,2022-06-12,2022-W23,126
AT,2022-06-12,2022-W23,191
AT,2022-06-05,2022-W22,4
AT,2022-06-05,2022-W22,49
AT,2022-06-05,2022-W22,2
AT,2022-06-05,2022-W22,150
AT,2022-06-05,2022-W22,205
AT,2022-05-29,2022-W21,4
AT,2022-05-29,2022-W21,56
AT,2022-05-29,2022-W21,2
AT,2022-05-29,2022-W21,108
AT,2022-05-29,2022-W21,170
AT,2022-05-22,2022-W20,8
AT,2022-05-22,2022-W20,45
AT,2022-05-22,2022-W20,120
AT,2022-05-22,2022-W20,173
AT,2022-05-15,2022-W19,5
AT,2022-05-15,2022-W19,54
AT,2022-05-15,2022-W19,3
AT,2022-05-15,2022-W19,168
AT,2022-05-15,2022-W19,230
AT,2022-05-08,2022-W18,6
AT,2022-05-08,2022-W18,70
AT,2022-05-08,2022-W18,3
AT,2022-05-08,2022-W18,208
AT,2022-05-08,2022-W18,287
AT,2022-05-01,2022-W17,2
AT,2022-05-01,2022-W17,99
AT,2022-05-01,2022-W17,2
AT,2022-05-01,2022-W17,229
AT,2022-05-01,2022-W17,332
AT,2022-04-24,2022-W16,6
AT,2022-04-24,2022-W16,114
AT,2022-04-24,2022-W16,4
AT,2022-04-24,2022-W16,207
AT,2022-04-24,2022-W16,331
AT,2022-04-17,2022-W15,19
AT,2022-04-17,2022-W15,122
AT,2022-04-17,2022-W15,3
AT,2022-04-17,2022-W15,313
AT,2022-04-17,2022-W15,457
AT,2022-04-10,2022-W14,18
AT,2022-04-10,2022-W14,144
AT,2022-04-10,2022-W14,9
AT,2022-04-10,2022-W14,398
AT,2022-04-10,2022-W14,569
AT,2022-04-03,2022-W13,19
AT,2022-04-03,2022-W13,194
AT,2022-04-03,2022-W13,11
AT,2022-04-03,2022-W13,519
AT,2022-04-03,2022-W13,743
AT,2022-03-27,2022-W12,15
AT,2022-03-27,2022-W12,250
AT,2022-03-27,2022-W12,19
AT,2022-03-27,2022-W12,669
AT,2022-03-27,2022-W12,953
AT,2022-03-20,2022-W11,32
AT,2022-03-20,2022-W11,226
AT,2022-03-20,2022-W11,16
AT,2022-03-20,2022-W11,596
AT,2022-03-20,2022-W11,870
AT,2022-03-13,2022-W10,29
AT,2022-03-13,2022-W10,263
AT,2022-03-13,2022-W10,19
AT,2022-03-13,2022-W10,564
AT,2022-03-13,2022-W10,875
AT,2022-03-06,2022-W09,21
AT,2022-03-06,2022-W09,265
AT,2022-03-06,2022-W09,15
AT,2022-03-06,2022-W09,485
AT,2022-03-06,2022-W09,786
AT,2022-02-27,2022-W08,21
AT,2022-02-27,2022-W08,261
AT,2022-02-27,2022-W08,21
AT,2022-02-27,2022-W08,449
AT,2022-02-27,2022-W08,752
AT,2022-02-20,2022-W07,30
AT,2022-02-20,2022-W07,265
AT,2022-02-20,2022-W07,33
AT,2022-02-20,2022-W07,435
AT,2022-02-20,2022-W07,763
AT,2022-02-13,2022-W06,21
AT,2022-02-13,2022-W06,259
AT,2022-02-13,2022-W06,16
AT,2022-02-13,2022-W06,411
AT,2022-02-13,2022-W06,707
AT,2022-02-06,2022-W05,18
AT,2022-02-06,2022-W05,289
AT,2022-02-06,2022-W05,33
AT,2022-02-06,2022-W05,371
AT,2022-02-06,2022-W05,711
AT,2022-01-30,2022-W04,22
AT,2022-01-30,2022-W04,252
AT,2022-01-30,2022-W04,21
AT,2022-01-30,2022-W04,326
AT,2022-01-30,2022-W04,621
AT,2022-01-23,2022-W03,20
AT,2022-01-23,2022-W03,211
AT,2022-01-23,2022-W03,34
AT,2022-01-23,2022-W03,221
AT,2022-01-23,2022-W03,486
AT,2022-01-16,2022-W02,12
AT,2022-01-16,2022-W02,214
AT,2022-01-16,2022-W02,16
AT,2022-01-16,2022-W02,149
AT,2022-01-16,2022-W02,391
AT,2022-01-09,2022-W01,8
AT,2022-01-09,2022-W01,156
AT,2022-01-09,2022-W01,14
AT,2022-01-09,2022-W01,98
AT,2022-01-09,2022-W01,276
AT,2022-01-02,2021-W52,7
AT,2022-01-02,2021-W52,105
AT,2022-01-02,2021-W52,6
AT,2022-01-02,2021-W52,107
AT,2022-01-02,2021-W52,225
AT,2021-12-26,2021-W51,8
AT,2021-12-26,2021-W51,89
AT,2021-12-26,2021-W51,7
AT,2021-12-26,2021-W51,105
AT,2021-12-26,2021-W51,209
AT,2021-12-19,2021-W50,6
AT,2021-12-19,2021-W50,127
AT,2021-12-19,2021-W50,5
AT,2021-12-19,2021-W50,189
AT,2021-12-19,2021-W50,327
AT,2021-12-12,2021-W49,12
AT,2021-12-12,2021-W49,172
AT,2021-12-12,2021-W49,4
AT,2021-12-12,2021-W49,253
AT,2021-12-12,2021-W49,441
AT,2021-12-05,2021-W48,18
AT,2021-12-05,2021-W48,298
AT,2021-12-05,2021-W48,11
AT,2021-12-05,2021-W48,425
AT,2021-12-05,2021-W48,752
AT,2021-11-28,2021-W47,15
AT,2021-11-28,2021-W47,383
AT,2021-11-28,2021-W47,29
AT,2021-11-28,2021-W47,593
AT,2021-11-28,2021-W47,1020
AT,2021-11-21,2021-W46,11
AT,2021-11-21,2021-W46,423
AT,2021-11-21,2021-W46,37
AT,2021-11-21,2021-W46,617
AT,2021-11-21,2021-W46,1088
AT,2021-11-14,2021-W45,12
AT,2021-11-14,2021-W45,357
AT,2021-11-14,2021-W45,14
AT,2021-11-14,2021-W45,539
AT,2021-11-14,2021-W45,922
AT,2021-11-07,2021-W44,8
AT,2021-11-07,2021-W44,257
AT,2021-11-07,2021-W44,7
AT,2021-11-07,2021-W44,468
AT,2021-11-07,2021-W44,740
AT,2021-10-31,2021-W43,10
AT,2021-10-31,2021-W43,199
AT,2021-10-31,2021-W43,9
AT,2021-10-31,2021-W43,345
AT,2021-10-31,2021-W43,563
AT,2021-10-24,2021-W42,10
AT,2021-10-24,2021-W42,159
AT,2021-10-24,2021-W42,4
AT,2021-10-24,2021-W42,270
